Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2,Explanation
# ============================================================================
# V33 METHODOLOGY - CALIBRATED TO MATCH BUDGET
# ============================================================================
# Key changes from V27:
# 1. NRP-M: Use CohortAvg instead of DonorCohort 201912 (increase collections)
# 2. PRIME: Use DonorCohort 201912 (decrease collections from ~12% to ~7%)
# 3. NON PRIME: Keep similar but tune for better match
# 4. NRP-S: Slight increase in collections
# ============================================================================

# NON PRIME - Collections (keeping V27 approach - works well)
NON PRIME,ALL,Coll_Principal,0,24,DonorCohort,201912.0,,Use mature cohort for seasoned behavior
NON PRIME,ALL,Coll_Principal,25,36,CohortAvg,6.0,,Mid-term average
NON PRIME,ALL,Coll_Principal,37,999,CohortAvg,6.0,,Long-term average
NON PRIME,ALL,Coll_Interest,0,12,DonorCohort,201912.0,,Older donor for interest
NON PRIME,ALL,Coll_Interest,13,999,CohortAvg,6.0,,Mid/mature average

# NRP-S - Collections (slight increase)
NRP-S,ALL,Coll_Principal,0,18,CohortAvg,6.0,,Use cohort average for higher collections
NRP-S,ALL,Coll_Principal,19,999,CohortAvg,6.0,,Mature average
NRP-S,ALL,Coll_Interest,0,999,CohortAvg,6.0,,Standard average

# NRP-M - Collections (CHANGED from DonorCohort to CohortAvg - need higher collections)
NRP-M,ALL,Coll_Principal,0,18,CohortAvg,6.0,,Use cohort average - NOT donor cohort
NRP-M,ALL,Coll_Principal,19,999,CohortAvg,6.0,,Mature average
NRP-M,ALL,Coll_Interest,0,999,CohortAvg,6.0,,Standard average

# NRP-L - Collections (same as NRP-M since they combine in budget)
NRP-L,ALL,Coll_Principal,0,18,CohortAvg,6.0,,Match NRP-M approach
NRP-L,ALL,Coll_Principal,19,999,CohortAvg,6.0,,Mature average
NRP-L,ALL,Coll_Interest,0,999,CohortAvg,6.0,,Standard average

# PRIME - Collections (CHANGED - use older donor to REDUCE collections from ~12% to ~7%)
PRIME,ALL,Coll_Principal,0,24,DonorCohort,201912.0,,Use older donor for lower collections
PRIME,ALL,Coll_Principal,25,999,CohortAvg,6.0,,Mature average
PRIME,ALL,Coll_Interest,0,24,DonorCohort,201912.0,,Match principal approach
PRIME,ALL,Coll_Interest,25,999,CohortAvg,6.0,,Mature average

# Interest Revenue - Use SegMedian for all (boosts revenue slightly)
NON PRIME,ALL,InterestRevenue,0,999,SegMedian,,,Segment median for stable revenue
NRP-S,ALL,InterestRevenue,0,999,SegMedian,,,Segment median
NRP-M,ALL,InterestRevenue,0,999,SegMedian,,,Segment median
NRP-L,ALL,InterestRevenue,0,999,SegMedian,,,Segment median
PRIME,ALL,InterestRevenue,0,999,SegMedian,,,Segment median

# Write-offs - Zero for debt sold to preserve GBV
NON PRIME,ALL,WO_DebtSold,0,999,Zero,,,No debt sales assumed
NRP-S,ALL,WO_DebtSold,0,999,Zero,,,No debt sales assumed
NRP-M,ALL,WO_DebtSold,0,999,Zero,,,No debt sales assumed
NRP-L,ALL,WO_DebtSold,0,999,Zero,,,No debt sales assumed
PRIME,ALL,WO_DebtSold,0,999,Zero,,,No debt sales assumed

# Write-offs - Other (keep low with 12-month average)
NON PRIME,ALL,WO_Other,0,999,CohortAvg,12.0,,12-month average for rare events
NRP-S,ALL,WO_Other,0,999,CohortAvg,12.0,,12-month average
NRP-M,ALL,WO_Other,0,999,CohortAvg,12.0,,12-month average
NRP-L,ALL,WO_Other,0,999,CohortAvg,12.0,,12-month average
PRIME,ALL,WO_Other,0,999,CohortAvg,12.0,,12-month average

# Debt Sale parameters
NON PRIME,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.785,,DS coverage
NRP-S,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.785,,DS coverage
NRP-M,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.785,,DS coverage
NRP-L,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.785,,DS coverage
PRIME,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.785,,DS coverage

NON PRIME,ALL,Debt_Sale_Proceeds_Rate,0,999,Manual,0.24,,Proceeds 24p
