Values,Segment,2025-10-31 00:00:00,2025-11-30 00:00:00,2025-12-31 00:00:00,2026-01-31 00:00:00,2026-02-28 00:00:00,2026-03-31 00:00:00,2026-04-30 00:00:00,2026-05-31 00:00:00,2026-06-30 00:00:00,2026-07-31 00:00:00,2026-08-31 00:00:00,2026-09-30 00:00:00,2026-10-31 00:00:00,2026-11-30 00:00:00,2026-12-31 00:00:00,2027-01-31 00:00:00,2027-02-28 00:00:00,2027-03-31 00:00:00,2027-04-30 00:00:00,2027-05-31 00:00:00,2027-06-30 00:00:00,2027-07-31 00:00:00,2027-08-31 00:00:00,2027-09-30 00:00:00,2027-10-31 00:00:00,2027-11-30 00:00:00,2027-12-31 00:00:00,2028-01-31 00:00:00,2028-02-29 00:00:00,2028-03-31 00:00:00,2028-04-30 00:00:00,2028-05-31 00:00:00,2028-06-30 00:00:00,2028-07-31 00:00:00,2028-08-31 00:00:00,2028-09-30 00:00:00,2028-10-31 00:00:00,2028-11-30 00:00:00,2028-12-31 00:00:00,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
,NRP-L,-9998.800000000003,-9237.960000000001,-8544.42,-7874.430000000001,-7662.850000000002,-6989.300000000002,-7099.099999999999,-6404.510000000002,-6468.71,-6667.9299999999985,-6473.41,9369.029999999999,8729.96,8105.250000000001,7438.459999999999,6944.570000000001,6479.549999999999,6046.740000000001,5683.799999999999,8958.519999999999,8396.89,8039.289999999999,7589.699999999999,7120.92,6783.87,6544.05,6178.080000000001,5962.07,5769.82,5587.55,5442.81,5302.64,5172.549999999999,5052.4400000000005,4938.06,4829.61,4726.33,4627.46,4532.71,,,,,,,,,,,,,,,
,NRP-M,-876332.41,-584526.5599999999,-677672.4900000001,-331554.48000000004,-276462.95999999996,-635244.15,-233327.81000000003,-221368.15999999997,-670781.47,-194209.61,-183217.44,-729811.0700000002,-161754.02000000002,-150049.99000000002,-752759.1199999999,-122675.47,-108241.27,-686641.5700000002,-84688.03,-75816.98,-598798.1299999999,-56364.39,-48709.16,-494401.37000000005,-29770.119999999995,-12701.910000000003,-383632.52,3962.9900000000016,8144.799999999996,-294396.32,16575.179999999997,28823.85,-216569.84,66085.94,68283.76000000001,-211280.78999999998,89219.01,99590.07999999999,-161713.69,,,,,,,,,,,,,,,
,NRP-S,-308955.62,-236072.74999999997,-318924.18,-138025.46000000002,-108348.72,-250482.68,-41392.999999999985,-30958.03999999999,-211142.93000000005,-17726.109999999993,-12293.090000000004,-223938.78999999998,-7232.220000000004,-2604.2799999999843,-230832.75,6810.879999999997,9845.070000000003,-200866.49000000002,14715.329999999998,16644.72999999998,-168308.92,27861.879999999983,30894.719999999998,-132931.65,34331.73,34198.01999999999,-107753.8,45091.3,48362.36999999999,-75181.01,52731.04000000001,54691.729999999996,-56395.81999999999,53934.64,52832.67000000001,-55588.899999999994,54649.200000000004,54890.1,-52651.259999999995,,,,,,,,,,,,,,,
,PRIME,5457.97,21676.7,31892.62,31977.01,34903.729999999996,63524.100000000006,44703.880000000005,49674.5,43143.350000000006,37376.15,32354.26,27969.04,24159.899999999998,20859.95,18003.0,15533.09,13399.449999999999,11557.26,9967.41,8595.72,7412.47,6391.93,5511.81,4752.849999999999,4098.39,3534.0699999999997,3047.48,2627.92,2266.15,1954.22,1685.25,1453.33,1253.35,1080.91,932.21,803.99,693.43,598.08,515.86,,,,,,,,,,,,,,,
Sum of Net_Impairment,NON PRIME,-724320.96,-572026.6099999999,-975025.1900000001,-303319.22,-170602.0099999998,-685747.99,73021.11,160712.00999999986,-550224.48,283910.22,331094.69000000006,-547163.5700000001,311267.79999999993,337285.2199999999,-430918.12,372803.70999999996,411566.17000000004,-187141.72,414807.1699999999,443957.4000000001,-49207.55999999998,427475.50000000006,403041.99,-1901.7399999999943,406434.81000000006,381531.44,20889.07999999999,316044.93000000005,297160.95,5455.099999999997,247473.66999999998,233538.14,10419.93,196583.62,186305.94,-4730.2000000000035,156868.38000000003,148665.58,348.8899999999978,,,,,,,,,,,,,,,
,NRP-L,-9998.800000000003,-9237.960000000001,-8544.42,-7874.430000000001,-7662.850000000002,-6989.300000000002,-7099.099999999999,-6404.510000000002,-6468.71,-6667.9299999999985,-6473.41,9369.029999999999,8729.96,8105.250000000001,7438.459999999999,6944.570000000001,6479.549999999999,6046.740000000001,5683.799999999999,8958.519999999999,8396.89,8039.289999999999,7589.699999999999,7120.92,6783.87,6544.05,6178.080000000001,5962.07,5769.82,5587.55,5442.81,5302.64,5172.549999999999,5052.4400000000005,4938.06,4829.61,4726.33,4627.46,4532.71,,,,,,,,,,,,,,,
,NRP-M,-876332.41,-584526.5599999999,-665601.9700000001,-331554.48000000004,-276462.95999999996,-620308.46,-233327.81000000003,-221368.15999999997,-652358.8600000001,-194209.61,-183217.44,-707580.4799999999,-161754.02000000002,-150049.99000000002,-727943.3,-122675.47,-108241.27,-662476.2100000001,-84688.03,-75816.98,-576290.23,-56364.39,-48709.16,-474642.57999999996,-29770.119999999995,-12701.910000000003,-366277.9,3962.9900000000016,8144.799999999996,-279943.93,16575.179999999997,28823.85,-202488.90000000002,66085.94,68283.76000000001,-196728.9,89219.01,99590.07999999999,-147449.29,,,,,,,,,,,,,,,
,NRP-S,-308955.62,-236072.74999999997,-313349.83,-138025.46000000002,-108348.72,-242824.1,-41392.999999999985,-30958.03999999999,-203041.68000000002,-17726.109999999993,-12293.090000000004,-214765.11,-7232.220000000004,-2604.2799999999843,-220744.88,6810.879999999997,9845.070000000003,-191279.7,14715.329999999998,16644.72999999998,-159521.17,27861.879999999983,30894.719999999998,-124961.45,34331.73,34198.01999999999,-100381.08,45091.3,48362.36999999999,-68720.39,52731.04000000001,54691.729999999996,-50418.3,53934.64,52832.67000000001,-49579.23,54649.200000000004,54890.1,-46834.76,,,,,,,,,,,,,,,
,PRIME,5457.97,21676.7,31892.62,31977.01,34903.729999999996,63524.100000000006,44703.880000000005,49674.5,43143.350000000006,37376.15,32354.26,27969.04,24159.899999999998,20859.95,18003.0,15533.09,13399.449999999999,11557.26,9967.41,8595.72,7412.47,6391.93,5511.81,4752.849999999999,4098.39,3534.0699999999997,3047.48,2627.92,2266.15,1954.22,1685.25,1453.33,1253.35,1080.91,932.21,803.99,693.43,598.08,515.86,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORECAST>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026.0,2027.0,2028.0,Total,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non Prime,-10414935.22,-9917015.200000001,-9371613.780000001,-8724826.61,-8232618.61,-7737619.26,-7090808.359999999,-6679037.58,-6228192.32,-5593352.720000001,-5104935.63,-4736854.880000001,-4132016.19,-3904546.5599999996,-3611975.5500000003,-3178616.3,-3023779.77,-2829760.29,-2502291.55,-2345448.32,-2200081.51,-1945613.6900000002,-1827692.9700000002,-1718106.63,-1517209.6500000001,-1428085.5499999998,-1345055.37,-1183848.01,-1116307.16,-1053220.1099999999,-926833.4600000001,-875274.5900000001,-826923.66,-729928.88,-690005.98,-652395.88,-572732.31,-541707.8300000001,-512477.12000000005,,,-71776784.27,-25861741.599999998,-9681654.989999998,-107320180.85999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Near Prime Small,-2494655.0699999994,-2461852.0900000003,-2369145.3999999994,-2265912.38,-2164233.4499999997,-2063593.4299999995,-1934773.9400000002,-1868471.18,-1789150.52,-1675753.15,-1584302.1600000004,-1494869.63,-1396309.7600000002,-1342156.1000000003,-1273196.9900000002,-1209439.8399999999,-1160456.2099999997,-1112741.7599999998,-1046490.2400000001,-1004166.2500000001,-964436.0000000001,-907197.54,-870200.4599999998,-836569.9,-786316.2000000001,-757188.3400000001,-729131.9199999999,-687454.7400000001,-662489.7700000001,-638673.19,-604381.5700000001,-582939.5199999999,-563372.65,-532327.24,-516709.75,-502180.07,-474463.0799999999,-460162.18,-446256.69,,,-20852722.690000005,-11384334.659999998,-6671410.450000001,-38908467.800000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Near Prime Medium,-5250278.609999999,-5136465.58,-5012549.7,-4898708.109999999,-4712328.07,-4643951.59,-4458976.63,-4213967.200000001,-4107582.0,-3846495.7299999995,-3600750.75,-3450781.2400000007,-3283054.6900000004,-3150536.6399999997,-3048952.9799999995,-2924000.08,-2877924.5900000003,-2782194.86,-2647827.68,-2557411.9299999997,-2478606.8,-2362636.34,-2288233.24,-2219598.4800000004,-2117653.3200000003,-2054912.9000000004,-1992353.12,-1909376.32,-1855102.0699999998,-1802481.8800000001,-1730109.2100000002,-1686194.86,-1641272.9300000002,-1574596.92,-1538339.94,-1501562.4300000002,-1439829.2000000002,-1404909.03,-1370589.09,,,-47416085.629999995,-29303353.34,-19454363.88,-96173802.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Prime,-390422.42000000004,-402811.78,-389364.9100000001,-337355.26000000007,-309589.88,-267064.58999999997,-233118.22,-203944.32,-177566.00999999995,-154208.29,-133811.71000000002,-115812.53,-100215.41999999998,-86678.75,-74941.03000000001,-64784.96000000001,-55998.69999999999,-48401.35999999999,-41835.15999999999,-36160.70999999999,-31308.91,-27080.76,-23425.35,-20273.430000000004,-17533.309999999998,-15174.509999999998,-13135.859999999995,-11372.730000000003,-9849.789999999999,-8533.220000000001,-7394.910000000002,-6438.26,-5591.51,-4860.37,-4275.4400000000005,-3898.8599999999997,-3459.9599999999996,-3090.79,-2775.62,,,-2194306.0100000002,-395113.01999999996,-71541.46,-2660960.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,BB total collections ,-18550291.32,-17918144.650000002,-17142673.79,-16226802.359999998,-15418770.010000002,-14712228.87,-13717677.15,-12965420.280000001,-12302490.85,-11269809.89,-10423800.25,-9798318.280000001,-8911596.06,-8483918.05,-8009066.550000001,-7376841.18,-7118159.2700000005,-6773098.2700000005,-6238444.630000001,-5943187.21,-5674433.22,-5242528.33,-5009552.02,-4794548.4399999995,-4438712.4799999995,-4255361.3,-4079676.27,-3792051.8000000003,-3643748.79,-3502908.4,-3268719.1500000004,-3150847.2299999995,-3037160.75,-2841713.41,-2749331.11,-2660037.2399999998,-2490484.55,-2409869.83,-2332098.5200000005,,,-142239898.6,-66944542.61999999,-35878970.78,-245063411.99999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,as % of prior closing GBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Non Prime as % of prior closing GBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Near Prime Small as % of prior closing GBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Near Prime Medium as % of prior closing GBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Prime as % of prior closing GBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Non Prime,110675448.3,103791467.94,95838869.72,89566651.78,83545603.9,76287993.01,70998805.13999999,65991695.580000006,59495679.980000004,55343670.980000004,51613461.370000005,46148933.81,43302842.760000005,40618800.650000006,36217762.3,34077597.47,32039226.249999996,28517426.610000003,26848391.12,25292542.11,22518158.85,21240724.099999998,20047428.08,17825867.56,16843663.740000002,15923864.56,14124078.36,13366326.7,719131901.2599999,11224841.92,10636043.370000001,10081241.79,8973791.36,8509730.75,8070531.569999999,7150861.290000001,6783637.5,6436109.590000001,5716767.81,,,36217762.3,14124078.36,5716767.81,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Near Prime Small,41295869.91,39568702.239999995,37671982.339999996,36060091.3,34513986.7,32728629.050000004,31346131.91,30007904.35,28402205.560000002,27210373.89,26094921.59,24687008.549999997,23767537.449999996,22887386.699999996,21658147.42,20874906.749999996,20127364.759999998,19031224.87,18364955.62,17729864.46,16772266.309999999,16206225.110000003,15667454.950000003,14834340.32,14354630.89,13895706.48,13161784.780000001,12750518.610000001,339364324.46999997,11721854.46,11366856.469999999,11026441.18,10459860.34,10151650.67,9852723.45,9321836.49,9048005.139999999,8782803.57,8293344.12,,,21658147.42,13161784.780000001,8293344.12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Near Prime Medium,108112383.81,104636192.66000001,100738544.71000001,97367836.31000002,94121842.95,90289245.44999999,87176153.80999999,84262321.12,80673082.96999998,78033730.03999999,75601258.43,72393025.63000001,70357604.42,68423973.53999999,65571568.199999996,63792040.599999994,62031305.23999999,59371345.83,57767291.760000005,56228085.489999995,53843587.46,52435880.54000001,51081094.4,48983612.400000006,47743334.75,46546275.94,44698519.620000005,43596694.03,964271642.8699999,40923746.62,39938069.190000005,38979533.580000006,37486349.480000004,36596524.70999999,35728101.449999996,34299775.93,33489937.069999997,32700974.360000007,31361980.129999995,,,65571568.199999996,44698519.620000005,31361980.129999995,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Prime,3278581.04,2900649.3200000003,2536008.14,2222270.41,1934220.0299999996,1686537.4200000002,1470679.1300000001,1282005.0399999998,1117890.12,975491.04,852019.63,745258.4900000001,652819.68,572900.9099999999,503836.38999999996,444161.70999999996,392579.25999999995,347968.67,309378.17000000004,275985.1,247090.84999999998,222074.5,200413.28,181644.51,165391.71,151304.25,139088.52,128491.95000000001,14015928.29,111306.13,104364.38,98344.65,93102.72,88532.60999999999,84549.72,81226.02000000002,78348.72,75809.18,73557.02,,,503836.38999999996,139088.52,73557.02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,BB Closing GBV,263362283.05999997,250897012.16000003,236785404.91,225216849.8,214115653.58,200992404.92999998,190991769.98999995,181543926.09,169688858.63,161563265.95,154161661.02,143974226.48000002,138080804.31,132503061.79999998,123951314.30999999,119188706.52999999,114590475.50999998,107267965.98,103290016.67,99526477.16,93381103.47,90104904.25,86996390.71000001,81825464.79,79107021.08999999,76517151.22999999,72123471.28,69842031.29,2036783796.8899999,63981749.13,62045333.410000004,60185561.2,57013103.900000006,55346438.739999995,53735906.19,50853699.730000004,49399928.42999999,47995696.70000001,45445649.08,,,123951314.30999999,72123471.28,45445649.08,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Non Prime Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,
,Near Prime Small Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Near Prime Medium Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Prime Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Non Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Near Prime Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Near Prime Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,BB Average GBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Non Prime Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Near Prime Small Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Near Prime Medium Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Prime Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Non Prime,93895503.94999999,86448751.07000002,78534639.66,71967178.19,65782491.64999999,59001176.67999999,53790320.61000001,48948723.66,43300639.69,39436188.809999995,36040317.68,31595160.869999997,29062778.29,26718213.39,23366602.310000002,21600895.839999996,19975578.859999996,17503060.89,16249969.01,15139104.750000002,13321873.86,12472709.469999999,11683176.62,10300764.739999998,9725559.68,9187805.7,8121856.45,7680552.130000001,529009791.83,6421256.380000001,6080224.46,5759230.18,5106289.250000001,4839028.43,4586334.4399999995,4045011.9199999995,3834815.9799999995,3636101.0700000003,3213966.47,,,23366602.310000002,8121856.45,3213966.47,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Near Prime Small,37560057.66,35598711.15,33559598.830000006,31811034.449999996,30157750.3,28363511.59,26940737.419999994,25572582.160000004,24011079.09,22802406.0,21675496.85,20332496.59,19406538.57,18524490.169999998,17381848.07,16606042.709999999,15868940.88,14873527.35,14222502.009999998,13604559.869999997,12755068.61,12217339.39,11709893.999999996,10994523.51,10549531.27,10125173.51,9515353.940000001,9149509.33,286979971.26,8297509.359999999,7995527.070000001,7710076.630000002,7275056.540000001,7021027.1,6775168.42,6377622.81,6158652.99,5948545.609999999,5589269.130000001,,,17381848.07,9515353.940000001,5589269.130000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Near Prime Medium,100689052.22,96623181.48999998,92421857.30000001,88714748.98,85186566.28,81182714.05999999,77830716.14,74690402.82,71003477.50999999,68164150.66999999,65542738.23000001,62312764.769999996,60124878.38,58049792.77,55231714.78000001,53336834.94,51474678.519999996,48893225.599999994,47210447.52000001,45604642.26,43336732.87,41880924.8,40485231.04,38521096.21,37258022.01,36054987.730000004,34374887.15,33283154.639999997,848034665.3899999,30789439.35,29825932.490000002,28901672.279999997,27639377.05,26820831.53,26025768.2,24848057.779999997,24132295.24,23447678.580000002,22399531.44,,,55231714.78000001,34374887.15,22399531.44,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Prime,2682770.3500000006,2326735.8700000006,1994196.6499999997,1712481.66,1459378.19,1275260.34,1104144.08,965170.9299999999,844217.1999999998,739204.5299999999,648095.57,569309.8400000001,501035.64999999997,441980.11,390920.8599999999,346780.86,308599.03,275546.57999999996,246924.11000000002,222127.19000000003,200645.72999999998,182021.53,165872.28,151856.47,139702.16,129148.84,119980.62999999998,112012.01000000001,10651198.959999999,99046.57999999999,93790.1,89223.70000000001,85235.12,81745.91,78695.25,76175.53,73991.65,72050.19,70313.89000000001,,,390920.8599999999,119980.62999999998,70313.89000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,BB Closing NBV,234827384.17999998,220997379.58,206510292.44000003,194205443.28,182586186.42,169822662.67,159665918.25000003,150176879.57,139159413.48999998,131141950.00999999,123906648.33000001,114809732.07,109095230.89000002,103734476.44000001,96371086.02000001,91890554.35,87627797.28999999,81545360.42,77929842.65,74570434.07,69614321.07000001,66752995.19,64044173.94,59968240.93,57672815.11999999,55497115.78000001,52132078.17,50225228.10999999,1674675627.44,45607251.67,43995474.120000005,42460202.79000001,40105957.96,38762632.97,37465966.31,35346868.04,34199755.85999999,33104375.450000003,31273080.930000003,,,96371086.02000001,52132078.17,31273080.930000003,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Non Prime Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,
,Near Prime Small Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,
,Near Prime Medium Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Prime Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Non Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Near Prime Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Near Prime Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,BB Average NBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Non Prime Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Near Prime Small Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Near Prime Medium Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Prime Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0,,,,,,,,,
,Non Prime,3464997.95,3094693.5199999996,2800512.1900000004,2510564.17,2269179.62,2058453.23,1858684.7699999998,1729004.5599999998,1623194.37,1498029.39,1431238.7,1386041.3,1341794.04,1276053.91,1211327.81,1093033.38,1039471.8600000001,986547.6399999999,886011.94,841655.3699999999,799966.1300000001,718673.6599999999,684046.74,651081.31,582780.34,555078.8699999999,528517.01,470794.39,20193565.869999997,427320.94,379452.77,360775.81999999995,342655.76999999996,303909.38,287721.15,272323.48,240168.81999999998,227729.78000000003,216008.43,,,20193565.869999997,9366864.249999998,23722426.599999998,53282856.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Near Prime Small,778272.4800000001,736578.3300000001,696896.6799999999,655373.4600000001,619298.0000000001,585701.11,553392.8099999999,531273.96,508461.06000000006,484806.16000000003,469686.09,454701.95999999996,477583.93999999994,462711.95,448143.12,426823.6699999999,413509.27999999997,400641.17,380749.54,369579.36,358828.08999999997,341606.45999999996,331860.35000000003,322674.97000000003,306992.22,298632.55,290471.52,276518.87,6251133.620000001,262277.17000000004,249668.26999999996,242797.35,236155.13,224363.13999999998,218018.41,211906.49000000002,200844.02999999997,195164.7,189653.31,,,6251133.620000001,4242369.18,8758500.49,19252003.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Near Prime Medium,1733297.0700000003,1664359.37,1601248.96,1531028.7400000002,1468271.1400000001,1410779.8499999999,1347405.6300000001,1301426.4900000002,1256341.23,1208046.48,1169029.15,1132432.71,1248192.38,1217395.7499999998,1189611.2800000003,1144851.14,1117529.95,1089158.44,1044053.8899999999,1018465.15,994666.5499999998,955153.3900000001,933659.0,912669.6699999999,877565.3499999999,858036.44,838956.55,807718.8400000001,15479960.830000002,772843.18,744584.4099999999,727808.27,711470.74,684913.06,670054.77,655449.91,630121.3700000001,616074.85,602296.5399999999,,,15479960.830000002,11784765.52,23103296.77,50368023.120000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
