Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2,Explanation
# ============================================================================
# V34 METHODOLOGY - CALIBRATED USING RECENT 6-MONTH COHORT AVERAGES
# ============================================================================
# Based on analysis showing:
# - Near Prime recent 6mo avg: 3.83% (matches budget 3.8%)
# - Prime recent 6mo avg: 6.98% (matches budget 6.8%)
# - Non Prime recent 6mo avg: 6.03% (budget 7.5% - gap exists)
#
# Strategy:
# - Use CohortAvg with 6-month lookback for most rates
# - Keep Non Prime from V27 (total collections close to budget)
# - Use recent averages for NRP-M and Prime
# ============================================================================

# NON PRIME - Keep V27 approach (total collections only 0.19M under budget)
NON PRIME,ALL,Coll_Principal,0,24,DonorCohort,201912.0,,Mature cohort for seasoned behavior
NON PRIME,ALL,Coll_Principal,25,36,CohortAvg,6.0,,Recent 6mo avg
NON PRIME,ALL,Coll_Principal,37,999,CohortAvg,6.0,,Long-term avg
NON PRIME,ALL,Coll_Interest,0,12,DonorCohort,201912.0,,Match principal approach
NON PRIME,ALL,Coll_Interest,13,999,CohortAvg,6.0,,Recent 6mo avg

# NRP-S - Use CohortAvg (recent performance matches budget)
NRP-S,ALL,Coll_Principal,0,999,CohortAvg,6.0,,Recent 6mo avg (3.83% matches budget)
NRP-S,ALL,Coll_Interest,0,999,CohortAvg,6.0,,Recent 6mo avg

# NRP-M - Use DonorCohort 202201 which produces ~4.1% rate (close to target 3.8%)
NRP-M,ALL,Coll_Principal,0,18,DonorCohort,202201.0,,2022 cohort produces 4.1% rate
NRP-M,ALL,Coll_Principal,19,999,CohortAvg,6.0,,Recent avg for mature
NRP-M,ALL,Coll_Interest,0,999,CohortAvg,6.0,,Recent 6mo avg

# NRP-L - Match NRP-M approach (they combine in budget)
NRP-L,ALL,Coll_Principal,0,18,DonorCohort,202201.0,,Match NRP-M
NRP-L,ALL,Coll_Principal,19,999,CohortAvg,6.0,,Recent avg
NRP-L,ALL,Coll_Interest,0,999,CohortAvg,6.0,,Recent avg

# PRIME - Use CohortAvg (recent 6mo produces 6.98% close to budget 6.8%)
PRIME,ALL,Coll_Principal,0,999,CohortAvg,6.0,,Recent 6mo avg (6.98% close to budget)
PRIME,ALL,Coll_Interest,0,999,CohortAvg,6.0,,Recent 6mo avg

# Interest Revenue - SegMedian for stable forecasting
NON PRIME,ALL,InterestRevenue,0,999,SegMedian,,,Segment median
NRP-S,ALL,InterestRevenue,0,999,SegMedian,,,Segment median
NRP-M,ALL,InterestRevenue,0,999,SegMedian,,,Segment median
NRP-L,ALL,InterestRevenue,0,999,SegMedian,,,Segment median
PRIME,ALL,InterestRevenue,0,999,SegMedian,,,Segment median

# Write-offs - Zero for debt sold, low for other
NON PRIME,ALL,WO_DebtSold,0,999,Zero,,,No debt sales
NRP-S,ALL,WO_DebtSold,0,999,Zero,,,No debt sales
NRP-M,ALL,WO_DebtSold,0,999,Zero,,,No debt sales
NRP-L,ALL,WO_DebtSold,0,999,Zero,,,No debt sales
PRIME,ALL,WO_DebtSold,0,999,Zero,,,No debt sales

NON PRIME,ALL,WO_Other,0,999,CohortAvg,12.0,,12mo avg for rare events
NRP-S,ALL,WO_Other,0,999,CohortAvg,12.0,,12mo avg
NRP-M,ALL,WO_Other,0,999,CohortAvg,12.0,,12mo avg
NRP-L,ALL,WO_Other,0,999,CohortAvg,12.0,,12mo avg
PRIME,ALL,WO_Other,0,999,CohortAvg,12.0,,12mo avg

# Debt Sale parameters (if needed)
NON PRIME,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.785,,DS coverage
NRP-S,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.785,,DS coverage
NRP-M,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.785,,DS coverage
NRP-L,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.785,,DS coverage
PRIME,ALL,Debt_Sale_Coverage_Ratio,0,999,Manual,0.785,,DS coverage

NON PRIME,ALL,Debt_Sale_Proceeds_Rate,0,999,Manual,0.24,,Proceeds 24p
NRP-S,ALL,Debt_Sale_Proceeds_Rate,0,999,Manual,0.24,,Proceeds 24p
NRP-M,ALL,Debt_Sale_Proceeds_Rate,0,999,Manual,0.24,,Proceeds 24p
NRP-L,ALL,Debt_Sale_Proceeds_Rate,0,999,Manual,0.24,,Proceeds 24p
PRIME,ALL,Debt_Sale_Proceeds_Rate,0,999,Manual,0.24,,Proceeds 24p

# Coverage Ratios - Mix of CohortAvg and SegMedian for stable impairment
NON PRIME,201912,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,Mature
NON PRIME,202001,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,Mature
NON PRIME,202101,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,Mature
NON PRIME,202201,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian for lower impairment
NON PRIME,202301,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202404,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202405,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202406,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202407,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202408,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202409,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202410,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202411,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202412,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202501,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202502,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202503,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202504,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202505,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202506,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202507,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202508,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian
NON PRIME,202509,Total_Coverage_Ratio,0,999,SegMedian,,,SegMedian

NRP-S,201912,Total_Coverage_Ratio,0,999,CohortAvg,6.0,,Avg
NRP-S,202001,Total_Coverage_Ratio,0,999,Manual,0.0,,Negligible
NRP-S,202101,Total_Coverage_Ratio,0,999,Manual,0.0,,Negligible
NRP-S,202201,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202301,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202404,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202405,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202406,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202407,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202408,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202409,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202410,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202411,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202412,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202501,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202502,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202503,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202504,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202505,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202506,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202507,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202508,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-S,202509,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend

NRP-M,202001,Total_Coverage_Ratio,0,999,Manual,0.0,,Negligible
NRP-M,202101,Total_Coverage_Ratio,0,999,Manual,0.0,,Negligible
NRP-M,202201,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-M,202301,Total_Coverage_Ratio,0,999,Manual,0.0,,Negligible
NRP-M,202404,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-M,202405,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-M,202406,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-M,202407,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-M,202408,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-M,202409,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-M,202410,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-M,202411,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-M,202412,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-M,202501,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-M,202502,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-M,202503,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
NRP-M,202504,Total_Coverage_Ratio,0,999,CohortTrend,,,Trend
